Species	xvalues	yvalues
S. aureus	4	15.4758439536866
S. aureus	4.1	14.0167632209822
S. aureus	4.2	12.6952463323512
S. aureus	4.3	11.4983236071089
S. aureus	4.4	10.414248161289
S. aureus	4.5	9.43238062093299
S. aureus	4.6	8.54308470474746
S. aureus	4.7	7.73763265134979
S. aureus	4.8	7.0081195629447
S. aureus	4.9	6.34738582477944
S. aureus	5	5.74894683898374
K. pneumoniae	0	2287.32884642953
K. pneumoniae	0.1	2077.99961016127
K. pneumoniae	0.2	1887.82753584855
K. pneumoniae	0.3	1715.05941949211
K. pneumoniae	0.4	1558.10250488083
K. pneumoniae	0.5	1415.50979990817
K. pneumoniae	0.6	1285.96673669382
K. pneumoniae	0.7	1168.27905252952
K. pneumoniae	0.8	1061.3617799231
K. pneumoniae	0.9	964.229244239643
K. pneumoniae	1	875.985976727287
K. pneumoniae	1.1	795.818459154871
K. pneumoniae	1.2	722.987623954627
K. pneumoniae	1.3	656.822040728555
K. pneumoniae	1.4	596.711726304596
K. pneumoniae	1.5	542.102521277238
K. pneumoniae	1.6	492.490981189682
K. pneumoniae	1.7	447.419735259141
K. pneumoniae	1.8	406.47326985722
K. pneumoniae	1.9	369.274097873054
K. pneumoniae	2	335.479278644467
K. pneumoniae	2.1	304.777256374213
K. pneumoniae	2.2	276.884987884555
K. pneumoniae	2.3	251.545333230833
K. pneumoniae	2.4	228.52468511797
K. pneumoniae	2.5	207.610815265429
K. pneumoniae	2.6	188.610917866162
K. pneumoniae	2.7	171.349832102123
K. pneumoniae	2.8	155.668427329643
K. pneumoniae	2.9	141.422136047625
K. pneumoniae	3	128.479621123946
K. pneumoniae	3.1	116.721564993148
K. pneumoniae	3.2	106.03956966301
K. pneumoniae	3.3	96.3351573890934
K. pneumoniae	3.4	87.5188628044645
K. pneumoniae	3.5	79.5094081348734
K. pneumoniae	3.6	72.2329538956874
K. pneumoniae	3.7	65.6224181627133
K. pneumoniae	3.8	59.616858141241
K. pneumoniae	3.9	54.1609083319691
